Date,Name,Open,High,Low,Close,Adj_Close,30-day_arithmetic_returns,Volatility
2022-05-20,AAPL,139.0899963,140.6999969,132.6100006,137.5899963,136.7732849,-0.0070267,0.003244234
2022-05-23,AAPL,137.7899933,143.2599945,137.6499939,143.1100006,142.2605286,-0.005292428,0.003256274
2022-05-24,AAPL,140.8099976,141.9700012,137.3300018,140.3600006,139.5268555,-0.005082434,0.003274702
2022-05-25,AAPL,138.4299927,141.7899933,138.3399963,140.5200043,139.6859131,-0.005428546,0.0032687
2022-05-26,AAPL,137.3899994,144.3399963,137.1399994,143.7799988,142.9265442,-0.005199989,0.003246487
2022-05-27,AAPL,145.3899994,149.6799927,145.2599945,149.6399994,148.75177,-0.002841817,0.003209868
2022-05-31,AAPL,149.0700073,150.6600037,146.8399963,148.8399963,147.9565125,-0.002975662,0.003151036
2022-06-01,AAPL,149.8999939,151.7400055,147.6799927,148.7100067,147.8272858,-0.003475274,0.003029137
2022-06-02,AAPL,147.8300018,151.2700043,146.8600006,151.2100067,150.3124542,-0.002881055,0.002868719
2022-06-03,AAPL,146.8999939,147.9700012,144.4600067,145.3800049,144.5170593,-0.004004785,0.002770829
2022-06-06,AAPL,147.0299988,148.5700073,144.8999939,146.1399994,145.2725525,-0.002903156,0.0026601
2022-06-07,AAPL,144.3500061,149.0,144.1000061,148.7100067,147.8272858,-0.002541537,0.002473345
2022-06-08,AAPL,148.5800018,149.8699951,147.4600067,147.9600067,147.0817719,-0.00146537,0.00231784
2022-06-09,AAPL,147.0800018,147.9499969,142.5299988,142.6399994,141.7933197,-0.002615004,0.002193266
2022-06-10,AAPL,140.2799988,140.7599945,137.0599976,137.1300049,136.31604,-0.005407807,0.002017345
2022-06-13,AAPL,132.8699951,135.1999969,131.4400024,131.8800049,131.0971832,-0.005463818,0.001918563
2022-06-14,AAPL,133.1300049,133.8899994,131.4799957,132.7599945,131.9719696,-0.005306937,0.001837728
2022-06-15,AAPL,134.2899933,137.3399963,132.1600037,135.4299927,134.6261139,-0.004957309,0.001734009
2022-06-16,AAPL,132.0800018,132.3899994,129.0399933,130.0599976,129.2879944,-0.007645969,0.00165293
2022-06-17,AAPL,130.0700073,133.0800018,129.8099976,131.5599976,130.7790833,-0.005404325,0.001605264
2022-06-21,AAPL,133.4199982,137.0599976,133.3200073,135.8699951,135.0635071,-0.004469875,0.001574846
2022-06-22,AAPL,134.7899933,137.7599945,133.9100037,135.3500061,134.5466003,-0.00349114,0.001590865
2022-06-23,AAPL,136.8200073,138.5899963,135.6300049,138.2700043,137.4492493,-0.003309089,0.001606558
2022-06-24,AAPL,139.8999939,141.9100037,139.7700043,141.6600037,140.8191223,-0.000763807,0.001736138
2022-06-27,AAPL,142.6999969,143.4900055,140.9700012,141.6600037,140.8191223,0.00013267,0.00187639
2022-06-28,AAPL,142.1300049,143.4199982,137.3200073,137.4400024,136.6241913,-0.001924197,0.001917026
2022-06-29,AAPL,137.4600067,140.6699982,136.6699982,139.2299957,138.4035492,-0.001134322,0.001978326
2022-06-30,AAPL,137.25,138.3699951,133.7700043,136.7200012,135.9084625,-0.002582666,0.001975757
2022-07-01,AAPL,136.0399933,139.0399933,135.6600037,138.9299927,138.1053314,-0.000163218,0.002018856
2022-07-05,AAPL,137.7700043,141.6100006,136.9299927,141.5599976,140.7197113,0.001289173,0.002122504
2022-07-06,AAPL,141.3500061,144.1199951,141.0800018,142.9199982,142.0716553,0.001551177,0.002204153
2022-07-07,AAPL,143.2899933,146.5500031,143.2799988,146.3500061,145.481308,0.001013853,0.002295734
2022-07-08,AAPL,145.2599945,147.5500031,145.0,147.0399933,146.1671906,0.001811537,0.002419888
2022-07-11,AAPL,145.6699982,146.6399994,143.7799988,144.8699951,144.0100708,0.001281608,0.002473475
2022-07-12,AAPL,145.7599945,148.4499969,145.0500031,145.8600006,144.9942017,0.000736087,0.002489756
2022-07-13,AAPL,142.9900055,146.4499969,142.1199951,145.4900055,144.6264038,-0.000707027,0.002505095
2022-07-14,AAPL,144.0800018,148.9499969,143.25,148.4700012,147.5887146,0.00015393,0.002539164
2022-07-15,AAPL,149.7799988,150.8600006,148.1999969,150.1699982,149.2786255,0.000564715,0.002573621
2022-07-18,AAPL,150.7400055,151.5700073,146.6999969,147.0700073,146.1970215,-0.000683772,0.002579539
2022-07-19,AAPL,147.9199982,151.2299957,146.9100037,151.0,150.1036987,0.00149215,0.002623191
2022-07-20,AAPL,151.1199951,153.7200012,150.3699951,153.0399933,152.1315918,0.001768224,0.002690996
2022-07-21,AAPL,154.5,155.5700073,151.9400024,155.3500061,154.4279022,0.001685172,0.002750428
2022-07-22,AAPL,155.3899994,156.2799988,153.4100037,154.0899963,153.175354,0.001582914,0.002806238
2022-07-25,AAPL,154.0099945,155.0399933,152.2799988,152.9499969,152.0421143,0.002534832,0.002883617
2022-07-26,AAPL,152.2599945,153.0899963,150.8000031,151.6000061,150.7001648,0.003528247,0.002894836
2022-07-27,AAPL,152.5800018,157.3300018,152.1600037,156.7899933,155.8593292,0.005945568,0.003020768
2022-07-28,AAPL,156.9799957,157.6399994,154.4100037,157.3500061,156.4160156,0.005842198,0.003095882
2022-07-29,AAPL,161.2400055,163.6300049,159.5,162.5099945,161.5453644,0.006264917,0.003171318
2022-08-01,AAPL,161.0099945,163.5899963,160.8899994,161.5099945,160.5513153,0.007381519,0.003069577
2022-08-02,AAPL,160.1000061,162.4100037,159.6300049,160.0099945,159.0601959,0.0066875,0.003029812
2022-08-03,AAPL,160.8399963,166.5899963,160.75,166.1300049,165.1438904,0.006870399,0.003013933
2022-08-04,AAPL,166.0099945,167.1900024,164.4299927,165.8099976,164.8257904,0.006933764,0.003018175
2022-08-05,AAPL,163.2100067,165.8500061,163.0,165.3500061,164.5968323,0.006168342,0.002953843
2022-08-08,AAPL,166.3699951,167.8099976,164.1999969,164.8699951,164.1190186,0.005254337,0.002951705
2022-08-09,AAPL,164.0200043,165.8200073,163.25,164.9199982,164.1687927,0.005264447,0.002965882
2022-08-10,AAPL,167.6799927,169.3399963,166.8999939,169.2400055,168.4691315,0.007130584,0.002955888
2022-08-11,AAPL,170.0599976,170.9900055,168.1900024,168.4900055,167.7225342,0.006548737,0.002931614
2022-08-12,AAPL,169.8200073,172.1699982,169.3999939,172.1000061,171.3161011,0.007863847,0.00285208
2022-08-15,AAPL,171.5200043,173.3899994,171.3500061,173.1900024,172.401123,0.007536151,0.002861833
2022-08-16,AAPL,172.7799988,173.7100067,171.6600037,173.0299988,172.2418518,0.006874345,0.002880537
2022-08-17,AAPL,172.7700043,176.1499939,172.5700073,174.5500031,173.7549286,0.00684692,0.00289412
2022-08-18,AAPL,173.75,174.8999939,173.1199951,174.1499939,173.3567352,0.005970546,0.0028547
2022-08-19,AAPL,173.0299988,173.7400055,171.3099976,171.5200043,170.7387238,0.005309998,0.002823456
2022-08-22,AAPL,169.6900024,169.8600006,167.1399994,167.5700073,166.8067322,0.005034284,0.002765154
2022-08-23,AAPL,167.0800018,168.7100067,166.6499939,167.2299957,166.468277,0.004738858,0.002673345
2022-08-24,AAPL,167.3200073,168.1100006,166.25,167.5299988,166.7669067,0.00488321,0.00247739
2022-08-25,AAPL,168.7799988,170.1399994,168.3500061,170.0299988,169.2555084,0.004697881,0.002317323
